date,product_id,prod_type,sales_forecast,actual_sales
2025-01-01,SKU-0001,Electronics,7.95,13.31
2025-01-02,SKU-0001,Electronics,11.46,12.55
2025-01-03,SKU-0001,Electronics,8.08,8.38
2025-01-04,SKU-0001,Electronics,10.84,8.28
2025-01-05,SKU-0001,Electronics,9.5,5.33
2025-01-06,SKU-0001,Electronics,8.81,10.43
2025-01-07,SKU-0001,Electronics,7.05,10.99
2025-01-08,SKU-0001,Electronics,5.57,1.91
2025-01-09,SKU-0001,Electronics,8.47,11.09
2025-01-10,SKU-0001,Electronics,11.4,10.25
2025-01-11,SKU-0001,Electronics,11.79,11.7
2025-01-12,SKU-0001,Electronics,9.7,11.9
2025-01-13,SKU-0001,Electronics,9.34,5.4
2025-01-14,SKU-0001,Electronics,10.99,14.44
2025-01-15,SKU-0001,Electronics,6.79,7.78
2025-01-16,SKU-0001,Electronics,9.03,9.68
2025-01-17,SKU-0001,Electronics,6.95,5.27
2025-01-18,SKU-0001,Electronics,9.61,12.54
2025-01-19,SKU-0001,Electronics,11.15,10.22
2025-01-20,SKU-0001,Electronics,9.6,2.48
2025-01-21,SKU-0001,Electronics,10.35,6.0
2025-01-22,SKU-0001,Electronics,7.33,4.54
2025-01-23,SKU-0001,Electronics,5.47,8.37
2025-01-24,SKU-0001,Electronics,7.13,8.0
2025-01-25,SKU-0001,Electronics,9.59,10.78
2025-01-26,SKU-0001,Electronics,10.24,7.03
2025-01-27,SKU-0001,Electronics,10.06,8.83
2025-01-28,SKU-0001,Electronics,4.96,3.89
2025-01-29,SKU-0001,Electronics,11.08,13.2
2025-01-30,SKU-0001,Electronics,7.38,6.51
2025-01-31,SKU-0001,Electronics,7.44,12.63
2025-02-01,SKU-0001,Electronics,10.46,11.54
2025-02-02,SKU-0001,Electronics,12.17,12.77
2025-02-03,SKU-0001,Electronics,7.57,7.08
2025-02-04,SKU-0001,Electronics,7.95,7.85
2025-02-05,SKU-0001,Electronics,9.55,9.68
2025-02-06,SKU-0001,Electronics,9.56,9.36
2025-02-07,SKU-0001,Electronics,8.25,3.26
2025-02-08,SKU-0001,Electronics,11.55,12.42
2025-02-09,SKU-0001,Electronics,12.12,4.88
2025-02-10,SKU-0001,Electronics,12.28,11.93
2025-02-11,SKU-0001,Electronics,10.32,7.72
2025-02-12,SKU-0001,Electronics,9.33,6.7
2025-02-13,SKU-0001,Electronics,6.86,11.65
2025-02-14,SKU-0001,Electronics,7.73,8.27
2025-02-15,SKU-0001,Electronics,11.48,12.72
2025-02-16,SKU-0001,Electronics,10.45,11.36
2025-02-17,SKU-0001,Electronics,12.92,12.78
2025-02-18,SKU-0001,Electronics,8.52,11.15
2025-02-19,SKU-0001,Electronics,10.33,13.3
2025-02-20,SKU-0001,Electronics,9.4,6.54
2025-02-21,SKU-0001,Electronics,11.39,8.53
2025-02-22,SKU-0001,Electronics,10.36,8.47
2025-02-23,SKU-0001,Electronics,10.03,10.85
2025-02-24,SKU-0001,Electronics,8.77,9.83
2025-02-25,SKU-0001,Electronics,11.36,12.49
2025-02-26,SKU-0001,Electronics,7.64,10.05
2025-02-27,SKU-0001,Electronics,10.51,7.44
2025-02-28,SKU-0001,Electronics,9.33,11.08
2025-03-01,SKU-0001,Electronics,9.17,12.61
2025-03-02,SKU-0001,Electronics,9.87,10.19
2025-03-03,SKU-0001,Electronics,7.79,7.83
2025-03-04,SKU-0001,Electronics,5.95,2.35
2025-03-05,SKU-0001,Electronics,11.33,9.21
2025-03-06,SKU-0001,Electronics,6.16,0.78
2025-03-07,SKU-0001,Electronics,6.87,3.56
2025-03-08,SKU-0001,Electronics,13.06,15.58
2025-03-09,SKU-0001,Electronics,8.81,14.44
2025-03-10,SKU-0001,Electronics,10.11,9.3
2025-03-11,SKU-0001,Electronics,3.15,8.88
2025-03-12,SKU-0001,Electronics,5.37,1.26
2025-03-13,SKU-0001,Electronics,10.2,16.3
2025-03-14,SKU-0001,Electronics,10.92,12.33
2025-03-15,SKU-0001,Electronics,10.97,13.11
2025-03-16,SKU-0001,Electronics,11.71,12.41
2025-03-17,SKU-0001,Electronics,8.36,8.21
2025-03-18,SKU-0001,Electronics,6.65,5.95
2025-03-19,SKU-0001,Electronics,4.77,4.52
2025-03-20,SKU-0001,Electronics,6.18,3.42
2025-03-21,SKU-0001,Electronics,8.52,12.0
2025-03-22,SKU-0001,Electronics,11.63,7.7
2025-03-23,SKU-0001,Electronics,8.22,10.57
2025-03-24,SKU-0001,Electronics,6.19,5.63
2025-03-25,SKU-0001,Electronics,9.26,6.84
2025-03-26,SKU-0001,Electronics,8.37,5.03
2025-03-27,SKU-0001,Electronics,6.96,7.76
2025-03-28,SKU-0001,Electronics,4.97,6.07
2025-03-29,SKU-0001,Electronics,9.75,11.13
2025-03-30,SKU-0001,Electronics,10.65,14.06
2025-03-31,SKU-0001,Electronics,8.41,7.34
2025-04-01,SKU-0001,Electronics,8.4,9.76
2025-04-02,SKU-0001,Electronics,8.26,8.36
2025-04-03,SKU-0001,Electronics,6.76,5.1
2025-04-04,SKU-0001,Electronics,5.35,9.73
2025-04-05,SKU-0001,Electronics,7.3,5.57
2025-04-06,SKU-0001,Electronics,8.76,11.0
2025-04-07,SKU-0001,Electronics,7.57,10.69
2025-04-08,SKU-0001,Electronics,6.81,7.51
2025-04-09,SKU-0001,Electronics,6.49,11.85
2025-04-10,SKU-0001,Electronics,5.78,6.56
2025-04-11,SKU-0001,Electronics,9.43,10.46
2025-04-12,SKU-0001,Electronics,9.42,9.09
2025-04-13,SKU-0001,Electronics,10.28,9.92
2025-04-14,SKU-0001,Electronics,10.08,15.61
2025-04-15,SKU-0001,Electronics,7.04,3.62
2025-04-16,SKU-0001,Electronics,7.98,14.43
2025-04-17,SKU-0001,Electronics,6.55,10.64
2025-04-18,SKU-0001,Electronics,11.51,10.12
2025-04-19,SKU-0001,Electronics,10.92,14.99
2025-04-20,SKU-0001,Electronics,9.43,8.92
2025-04-21,SKU-0001,Electronics,6.99,4.45
2025-04-22,SKU-0001,Electronics,6.85,3.79
2025-04-23,SKU-0001,Electronics,8.22,6.29
2025-04-24,SKU-0001,Electronics,8.62,4.73
2025-04-25,SKU-0001,Electronics,8.81,10.89
2025-04-26,SKU-0001,Electronics,5.79,6.72
2025-04-27,SKU-0001,Electronics,12.64,9.61
2025-04-28,SKU-0001,Electronics,11.49,12.54
2025-04-29,SKU-0001,Electronics,6.73,6.59
2025-04-30,SKU-0001,Electronics,9.26,9.45
2025-05-01,SKU-0001,Electronics,9.22,6.92
2025-05-02,SKU-0001,Electronics,8.48,4.94
2025-05-03,SKU-0001,Electronics,9.54,7.28
2025-05-04,SKU-0001,Electronics,8.7,11.79
2025-05-05,SKU-0001,Electronics,10.32,11.84
2025-05-06,SKU-0001,Electronics,5.95,5.16
2025-05-07,SKU-0001,Electronics,10.56,10.91
2025-05-08,SKU-0001,Electronics,12.77,13.75
2025-05-09,SKU-0001,Electronics,8.51,7.74
